rmse,mae,auroc,pred_auc,Model,Dataset,Miss_Rate,DB_Type
0.2400513322640428,0.16183139988511488,0.9046673091234976,,GAIN,HIGGS,0.1,heavy
0.3173020150640251,0.1849740486384404,0.8363385174292866,,WGAN_FWAL,HIGGS,0.1,heavy
0.2611723437321718,0.1599398262814595,0.8610697920425643,,KD,HIGGS,0.1,heavy
0.23903114536105025,0.16050167320709097,0.8921067142055813,,GAIN,HIGGS,0.2,heavy
0.2868250103461912,0.17041597072522,0.856435358799581,,WGAN_FWAL,HIGGS,0.2,heavy
0.2572466018878412,0.1617877027340968,0.8654430566906002,,KD,HIGGS,0.2,heavy
0.23937686219379048,0.1603245729012299,0.8717301292295864,,GAIN,HIGGS,0.3,heavy
0.2888130032539594,0.17005831629774792,0.8478469138686215,,WGAN_FWAL,HIGGS,0.3,heavy
0.25526013611765913,0.15859524557789278,0.8689220507574595,,KD,HIGGS,0.3,heavy
0.0296431039868363,0.011762864076179557,0.6987093872984379,,GAIN,CRITEO,0.1,heavy
0.041652965244622815,0.015878361244542102,0.6418952066050944,,WGAN_FWAL,CRITEO,0.1,heavy
0.033937669021333806,0.013059260297269414,0.6451478314793,,KD,CRITEO,0.1,heavy
0.02987641669753638,0.011364191192914493,0.6228223453547164,,GAIN,CRITEO,0.2,heavy
0.032436162295415606,0.012880962132133604,0.6565275332957103,,WGAN_FWAL,CRITEO,0.2,heavy
0.03944030849701699,0.012729246136365663,0.6793061768895694,,KD,CRITEO,0.2,heavy
0.03051451611706878,0.011607785216024614,0.630666680619676,,GAIN,CRITEO,0.3,heavy
0.03327102988609862,0.013283827481031983,0.6382202985680095,,WGAN_FWAL,CRITEO,0.3,heavy
0.0347954764587605,0.012154535887208292,0.5782267450240618,,KD,CRITEO,0.3,heavy
