rmse,mae,auroc,pred_auc,Model,Dataset,Miss_Rate,Seed,DB_Type
0.35314829376858164,0.13043465903902174,,0.7013332597634923,GAIN,breast_cancer,0.05,42,light
0.3643114787476418,0.139587967963516,,0.6888820481843737,WGAN_FWAL,breast_cancer,0.05,42,light
0.3922879807491709,0.16132707723127146,,0.6903445391817484,KD,breast_cancer,0.05,42,light
0.3766645102986051,0.14874127688801028,,0.7269797063401715,Student_Baseline,breast_cancer,0.05,42,light
0.3844964868224519,0.15405390621636095,,0.734198069372488,GAIN,breast_cancer,0.1,42,light
0.3855494310515861,0.15567552972987084,,0.6853184606091582,WGAN_FWAL,breast_cancer,0.1,42,light
0.3759668548507349,0.148648507297435,,0.6746921682968194,KD,breast_cancer,0.1,42,light
0.3841448678036534,0.15351336648663028,,0.727004100550612,Student_Baseline,breast_cancer,0.1,42,light
0.394981801130758,0.16229492595643702,,0.719443056943057,GAIN,breast_cancer,0.2,42,light
0.3799981929427543,0.15054630478156045,,0.6859442882698696,WGAN_FWAL,breast_cancer,0.2,42,light
0.38958395648877325,0.15765012172145992,,0.6445516692609715,KD,breast_cancer,0.2,42,light
0.40589872724170095,0.17103808743185436,,0.6959186162674534,Student_Baseline,breast_cancer,0.2,42,light
0.42434152042311823,0.18538895429533048,,0.6941793671444835,GAIN,breast_cancer,0.3,42,light
0.3921958870305464,0.1593243694935423,,0.6442609715865529,WGAN_FWAL,breast_cancer,0.3,42,light
0.4011039926306971,0.16648295255155254,,0.6653968124898357,KD,breast_cancer,0.3,42,light
0.40914612743876266,0.17217310848033934,,0.6559275027298282,Student_Baseline,breast_cancer,0.3,42,light
0.43291617203190214,0.19152222969392324,,0.6564926352717051,GAIN,breast_cancer,0.5,42,light
0.3942829990422926,0.16067450133170963,,0.5690428757289223,WGAN_FWAL,breast_cancer,0.5,42,light
0.3971571755250482,0.16278279843557447,,0.5708884139116697,KD,breast_cancer,0.5,42,light
0.4141843909672014,0.17665318053722923,,0.6315992147387497,Student_Baseline,breast_cancer,0.5,42,light
0.05315012309413729,0.018627123659455347,,,GAIN,spam,0.05,42,light
0.055426646270119104,0.024678388674085696,,,WGAN_FWAL,spam,0.05,42,light
0.05435449487952014,0.02332297602988912,,,KD,spam,0.05,42,light
0.05322518825687879,0.019023145116725673,,,Student_Baseline,spam,0.05,42,light
0.05106917205286641,0.017971246006904536,,,GAIN,spam,0.1,42,light
0.054058964500736946,0.024173822061167756,,,WGAN_FWAL,spam,0.1,42,light
0.05491833438736706,0.024215037929386316,,,KD,spam,0.1,42,light
0.05167007448785228,0.018787813219581066,,,Student_Baseline,spam,0.1,42,light
0.052231041903512604,0.017952389513865415,,,GAIN,spam,0.2,42,light
0.05482464425224658,0.024327522114671193,,,WGAN_FWAL,spam,0.2,42,light
0.05622810864162286,0.02384327731717685,,,KD,spam,0.2,42,light
0.05266307600315571,0.01855360046216385,,,Student_Baseline,spam,0.2,42,light
0.05305635503077524,0.01787448842432839,,,GAIN,spam,0.3,42,light
0.056308014265909374,0.024449314833297403,,,WGAN_FWAL,spam,0.3,42,light
0.05554385761335058,0.023783363419737608,,,KD,spam,0.3,42,light
0.053402940245943685,0.01845554836684455,,,Student_Baseline,spam,0.3,42,light
0.05441009778432689,0.019271399144671946,,,GAIN,spam,0.5,42,light
0.05769211814866376,0.023842205575608146,,,WGAN_FWAL,spam,0.5,42,light
0.05771474332871024,0.023413043604797013,,,KD,spam,0.5,42,light
0.05426737453954241,0.019847414901097635,,,Student_Baseline,spam,0.5,42,light
0.3445713736382529,0.12887849493599307,,0.8314440052973732,GAIN,credit,0.05,42,light
0.3205418816479624,0.11303442625938627,,0.8161660902705059,WGAN_FWAL,credit,0.05,42,light
0.31161097780642777,0.10738183841555496,,0.7805302357034921,KD,credit,0.05,42,light
0.34214674972406917,0.12678858801125428,,0.8453641476336398,Student_Baseline,credit,0.05,42,light
0.2996006969644089,0.09982137052464549,,0.8316748510970333,GAIN,credit,0.1,42,light
0.31203935008573686,0.10766744913584682,,0.8207956912805259,WGAN_FWAL,credit,0.1,42,light
0.31627475267394123,0.11061899741683427,,0.8354430085513893,KD,credit,0.1,42,light
0.3053729158312793,0.10320823673680964,,0.827416884943984,Student_Baseline,credit,0.1,42,light
0.29886122659680386,0.09986112193148364,,0.8120729780708382,GAIN,credit,0.2,42,light
0.3219698253273706,0.11450837452738595,,0.8071414654081529,WGAN_FWAL,credit,0.2,42,light
0.3161100737523021,0.11034997507455223,,0.7944799945843918,KD,credit,0.2,42,light
0.30132650187119736,0.10117671476308143,,0.8439685634649209,Student_Baseline,credit,0.2,42,light
0.3041913815876876,0.10277584410868486,,0.8295270910696931,GAIN,credit,0.3,42,light
0.3151330332071235,0.10998912998641039,,0.7716917923777467,WGAN_FWAL,credit,0.3,42,light
0.3255423234952474,0.1163294083026034,,0.7648102921662587,KD,credit,0.3,42,light
0.308603228151837,0.10564308785844659,,0.7767237281110626,Student_Baseline,credit,0.3,42,light
0.35751559024551527,0.1417011674753036,,0.8013258719676808,GAIN,credit,0.5,42,light
0.3246469018918268,0.11611559009699801,,0.7085205536784148,WGAN_FWAL,credit,0.5,42,light
